r1182	(-)-(1R,2S,5R)-Menthol	menthol dehydrogenase	(-)-(2S,5R)-Menthone
r1183	(-)-(2S,5R)-Menthone	menthone dehydrogenase	(5R)-Menth-2-enone
r1043	(+)-(3S,4R)-cis-3,4-Dihydroxy-3,4-dihydrofluorene	3,4-dihydroxy-3,4-dihydrofluorene dehydrogenase	3,4-Dihydroxyfluorene
r0733	(+)-(4R)-Limonene	limonene 1,2-monooxygenase	(4R)-Limonene-1,2-epoxide
r0426	(+)-Camphor	camphor 5-monooxygenase	5-exo-Hydroxycamphor
R04151	(+)-cis-3,4-Dihydrophenanthrene-3,4-diol 	cis-3,4-dihydrophenanthrene-3,4-diol dehydrogenase	Phenanthrene-3,4-diol
r0921	(1-Methylpentyl)succinate	succinyl-CoA transferase	(1-Methylpentyl)succinyl-CoA
r0922	(1-Methylpentyl)succinyl-CoA	methylmalonyl-CoA mutase	(2-Methylhexyl)malonyl-CoA
R07006	(1R)-Glutathionyl-(2R)-hydroxy-1,2-dihydronaphthalene	No Kegg enzyme supplied	(1R)-N-Acetyl-L-cysteinyl-(2R)-hydroxy-1,2-dihydronaphthalene
R07007	(1R)-Glutathionyl-(2R)-hydroxy-1,2-dihydronaphthalene	No Kegg enzyme supplied	(1R,2R)-3-[(1,2-Dihydro-2-hydroxy-1-naphthalenyl)thio]-2-oxopropanoic acid
R07005	(1R)-Hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene	No Kegg enzyme supplied	(1R)-Hydroxy-(2R)-N-acetyl-L-cysteinyl-1,2-dihydronaphthalene
R07009	(1R,2S)-Naphthalene 1,2-oxide	No Kegg enzyme supplied	1-Naphthol
R07011	(1R,2S)-Naphthalene 1,2-oxide	No Kegg enzyme supplied	2-Naphthol
R07002	(1R,2S)-Naphthalene 1,2-oxide 	glutathione transferase	(1R)-Hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene
R07013	(1R,2S)-Naphthalene 1,2-oxide 	microsomal epoxide hydrolase	1,2-Dihydronaphthalene-1,2-diol
R07008	(1S)-Hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene	No Kegg enzyme supplied	(1S)-Hydroxy-(2S)-N-acetyl-L-cysteinyl-1,2-dihydronaphthalene
R07010	(1S,2R)-Naphthalene 1,2-oxide	No Kegg enzyme supplied	1-Naphthol
R07012	(1S,2R)-Naphthalene 1,2-oxide	No Kegg enzyme supplied	2-Naphthol
R07003	(1S,2R)-Naphthalene 1,2-oxide 	glutathione transferase	(1R)-Glutathionyl-(2R)-hydroxy-1,2-dihydronaphthalene
R07004	(1S,2R)-Naphthalene 1,2-oxide 	glutathione transferase	(1S)-Hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene
R07014	(1S,2R)-Naphthalene 1,2-oxide 	microsomal epoxide hydrolase	1,2-Dihydronaphthalene-1,2-diol
r0735	(1S,2S,4R)-Limonene-1,2-diol	limonene-1,2-diol dehydrogenase	(1S,4R)-1-Hydroxy-2-oxolimonene
r0736	(1S,4R)-1-Hydroxy-2-oxolimonene	1-hydroxy-2-oxolimonene 1,2-monooxygenase	(3R)-3-Isopropenyl-6-oxoheptanoate
r1304	(2E)-5-Methylhexa-2,4-dienoyl-CoA	enoyl-CoA hydratase	3-Hydroxy-5-methylhex-4-enoyl-CoA
r1281	(2E,4E)-2-Hydroxyhexa-2,4-dienoate	2-hydroxyhexa-2,4-dienoate hydratase	4-Hydroxy-2-oxohexanoate
r0259	(2E,4Z)-2-Hydroxy-6-oxoocta-2,4,7-trienoate	2-hydroxymuconate semialdehyde hydrolase	Acrylate
r0259	(2E,4Z)-2-Hydroxy-6-oxoocta-2,4,7-trienoate	2-hydroxymuconate semialdehyde hydrolase	cis-2-Hydroxypenta-2,4-dienoate
r0923	(2-Methylhexyl)malonyl-CoA	methylmalonyl-CoA carboxyltransferase	4-Methyloctanoyl-CoA
R06927	(2-Naphthyl)methanol 	alcohol dehydrogenase	2-Naphthaldehyde 
R06930	(2-Naphthyl)methanol 	naphthalene 1,2-dioxygenase	cis-1,2-Dihydroxy-1,2-dihydro-7-hydroxymethylnaphthalene
r1174	(2Z)-2,4-Dihydroxydec-2-enedioate	(2Z)-2,4-dihydroxydec-2-enedioate aldolase	7-Oxoheptanoate
